#bins    mc      EpM      M       E
154	137.19	134.79	135.46	133.48
155	26.72	21.05	20.64	21.48
156	60.99	88.19	88.32	87.95
157	55.02	51.03	51.38	50.7
158	0	0	0	0
159	0.58	0.58	0.58	0.58
160	2.38	2.38	2.38	2.38
161	12.51	16.15	15.96	16.38
162	22.61	24.1	23.37	24.48
163	4.57	9.44	9.37	9.53
164	9.89	12.15	12.07	12.22
165	10.18	12.2	12.2	12.23
166	12.51	16.15	15.96	16.38
167	22.61	24.1	23.37	24.48
168	1.14	1.14	1.14	1.14
169	3.8	3.8	3.8	3.8
170	1.14	1.14	1.14	1.14
171	3.8	3.8	3.8	3.8
172	0	0	0	0
173	0	0	0	0
174	0.87	0.87	0.87	0.87
175	0.87	0.87	0.87	0.87
176	0	0	0	0
177	0	0	0	0
178	0.87	0.87	0.87	0.87
179	0.77	0.77	0.77	0.77
180	2.06	2.06	2.06	2.06
181	25.77	43.19	43.49	42.92
182	5.81	11.73	11.74	11.67
183	0.94	0.94	0.94	0.94
184	2.87	2.87	2.87	2.87
185	2.14	5.19	5	5.37
186	10.67	10.67	10.67	10.67
187	0.92	0.92	0.92	0.92
188	1.12	1.12	1.12	1.12
189	31.2	53.32	53.39	53.16
190	17.31	25.7	25.8	25.45
191	18.5	28.3	28.39	28.14
192	3.66	3.66	3.66	3.66
193	0.44	8	7.92	8.09
194	17.01	18.42	18.51	18.23
195	24.09	22.31	22.35	22.26
196	0.01	0.01	0.01	0.01
197	2.39	2.39	2.39	2.39
198	5.12	5.12	5.12	5.12
199	0.54	0.54	0.54	0.54
200	3.56	10.11	10.13	10.05
201	16.83	31.34	31.42	31.26
202	0	0	0	0
203	0.58	0.58	0.58	0.58
204	2.38	2.38	2.38	2.38

